0.900	686948.068744
0.905	686836.452953
0.906	686736.273256
0.907	686282.632023
0.908	685795.804172
0.912	685777.530442
0.912	685721.755517
0.917	685080.192344
0.924	684428.757093
0.929	683686.413153
0.940	683168.590230
0.978	682549.882814
1.003	682175.297665
1.413	675620.151067
1.416	675449.343580
1.431	675438.137024
1.454	675377.408000
1.461	675117.629813
1.493	674797.823238
1.511	674668.673306
3.014	674476.350764
3.025	673165.233581
3.368	672450.180020
3.428	671562.802678
3.508	671504.145673
11.202	671481.392672
11.231	671172.495731
12.539	671061.310257
12.594	670995.560044
15.624	670995.560044
15.661	670995.560044
21.576	670959.103567
27.334	670937.614777
27.374	670761.417696
30.287	670052.105501
30.316	669968.532041
30.327	669100.951503
30.359	669020.392464
32.765	668122.729299
32.773	667502.116974
32.811	667499.897725
33.963	667338.225371
33.975	667145.668792
33.984	666885.290432
34.017	666885.290432
42.228	666631.875941
42.253	666610.037478
68.171	666610.037478
68.384	666516.069027
74.910	666167.694393
74.910	665868.770971
74.927	665587.255874
74.928	664917.466338
74.942	664076.110686
80.208	664076.110686
90.727	663729.672700
96.929	663710.774471
96.954	663210.514722
102.015	663044.445956
102.028	663044.445956
116.733	662560.320552
116.787	662344.270494
116.821	661852.993257
137.652	661808.892895
177.594	661664.315536
177.611	661642.477073
181.071	661503.915276
186.773	661348.473805
186.793	661346.254557
189.336	660749.041208
189.362	660749.041208
189.399	660467.526111
189.921	660467.526111
194.730	660467.526111
220.929	660467.526111
261.852	660467.526111
367.490	660403.837752
405.320	660403.837752
484.500	660403.837752
