0.074	1280917.159512
0.077	1278644.016051
0.078	1278031.118081
0.078	1277699.602667
0.079	1268751.387457
0.080	1265188.683057
0.080	1265188.683057
0.081	1256235.717139
0.082	1255962.295690
0.082	1254599.039810
0.083	1254157.714748
0.084	1254030.624520
0.088	1253314.560612
0.089	1253078.220197
0.091	1252871.745971
0.095	1252390.585387
0.155	1233813.022099
0.155	1232748.983363
0.156	1230729.660381
0.231	1223916.267396
0.231	1223886.266710
0.231	1223286.814495
0.232	1222479.904286
0.233	1220682.571774
0.235	1218161.749315
0.250	1218161.749315
0.281	1214802.548101
0.283	1192565.610646
0.287	1192565.610646
0.291	1191966.158431
0.872	1188113.648554
0.873	1186909.929657
0.873	1186871.628455
0.874	1186064.718246
0.875	1186064.718246
0.875	1184280.590597
0.876	1181293.846003
0.877	1181093.065135
0.878	1179383.608217
0.970	1178328.432301
1.284	1178328.432301
1.910	1178328.432301
4.000	1178230.149099
4.002	1178115.645314
4.090	1177669.847912
4.090	1177559.944360
4.091	1176768.339590
4.092	1176653.835804
4.095	1176417.495389
4.096	1176211.021163
4.098	1176211.021163
4.211	1176211.021163
